id,product_code,product_group,stock_qty,cost,price,last_week_sales,last_month_sales
171,1800,PG5,448,24.23,56.99,20,74
172,1801,PG5,324,39.02,71.24,25,78
173,4876,PG2,1402,22,51.29,48,214
174,4879,PG2,10365,0.83,1.7,170,938
175,4038,PG4,804,55.66,61.74,15,50
176,5728,PG6,1720,13.86,28.49,26,84
177,5549,PG6,1516,21.45,36.09,92,349
178,3092,PG5,1349,15.29,18.04,18,94
179,5968,PG4,463,12.89,8.54,29,177
180,5979,PG4,808,5.26,3.32,15,72
181,5981,PG4,579,5.76,8.07,21,87
182,5990,PG4,755,20.59,18.99,25,87
183,1166,PG4,2014,21.38,35.14,13,34
184,3498,PG4,466,5.92,11.39,42,88
185,883,PG4,1639,39.93,80.74,54,166
186,7238,PG5,460,77.32,75.99,23,80
187,7269,PG5,369,388.49,427.41,13,49
188,9443,PG3,2001,32.21,40.84,54,207
189,2428,PG3,928,54.34,123.41,28,114
190,8591,PG4,1626,3.91,6.64,40,158
191,7510,PG5,1301,44,113.91,22,69
192,8680,PG4,326,15.84,31.34,21,67
193,6496,PG6,1065,115.5,161.41,26,147
194,6498,PG6,674,632.5,712.41,22,106
195,5617,PG5,788,412.73,474.91,15,132
196,3557,PG3,2512,86.9,104.49,132,501
197,3558,PG3,242,42.9,57.94,31,104
198,3562,PG3,1056,27.35,31.34,35,122
199,7755,PG2,1302,440,617.41,40,170
200,3530,PG4,144,57.98,104.49,16,51
201,9764,PG5,1011,13.9,37.04,56,192
202,9765,PG5,1859,8.72,22.79,43,386
203,9766,PG5,141,62.15,93.09,46,173
204,752,PG4,514,19.6,37.99,29,91
205,753,PG4,517,16.63,28.49,26,85
206,7071,PG5,2883,5.45,13.29,185,681
207,7444,PG4,5920,3.32,6.64,124,551
208,7445,PG4,8989,3.16,6.64,185,606
209,7446,PG4,7269,3,6.64,192,624
210,7447,PG4,9093,2.83,6.64,282,1369
211,7448,PG4,10722,2.45,5.69,344,1537
212,7449,PG4,6916,2.33,5.69,429,1395
213,7450,PG4,8504,2.23,5.69,314,1211
214,7451,PG4,5492,2.23,5.69,224,726
215,7453,PG4,2725,2.23,5.69,140,415
216,2093,PG5,189,656.19,740.91,12,44
217,3887,PG5,1448,144.54,189.91,26,142
218,5773,PG6,673,5.17,10.44,14,50
219,9604,PG6,747,231,351.41,22,169
220,5136,PG6,736,118.66,161.41,40,164
221,8242,PG6,764,23.65,52.24,14,51
222,9701,PG6,1186,37.9,61.74,82,369
223,2589,PG6,1278,30.33,69.34,43,172
224,2594,PG6,2014,29.68,71.24,68,310
225,3500,PG6,1101,34.3,61.74,41,230
226,3501,PG6,1098,37.9,61.74,124,363
227,7625,PG5,2152,111.13,132.91,59,214
228,7448,PG5,882,34.1,38.94,88,349
229,7449,PG5,1565,34.1,38.94,97,357
230,1667,PG5,2745,12.76,25.64,58,194
231,1668,PG5,3273,12.76,25.64,104,348
232,2481,PG3,10543,8.25,14.24,947,4100
233,2463,PG5,1387,625.49,664.91,38,150
234,1744,PG5,291,12.93,15.19,28,81
235,1745,PG5,395,12.93,15.19,60,227
236,1746,PG5,640,12.93,15.19,58,244
237,1747,PG5,451,12.93,18.04,82,497
238,1748,PG5,569,12.93,15.19,42,210
239,1749,PG5,885,12.93,18.99,134,610
240,1750,PG5,623,12.93,15.19,71,235
241,1751,PG5,618,12.93,15.19,125,432
242,1752,PG5,2403,13.59,16.14,110,426
243,1753,PG5,2247,13.59,16.14,155,518
244,1754,PG5,2243,13.59,16.14,177,654
245,1755,PG5,1968,13.59,16.14,276,1028
246,1756,PG5,2218,13.59,18.99,125,441
247,1757,PG5,5336,13.59,18.99,228,909
248,7334,PG2,3341,4.29,11.39,275,1138
249,7335,PG2,4269,3.3,10.44,268,941
250,3957,PG6,10090,26.92,31.34,867,2355
251,2390,PG4,1474,3.87,14.24,22,95
252,2391,PG4,652,4.25,14.24,51,149
253,2392,PG4,285,6.33,18.04,17,52
254,2589,PG4,687,5.24,18.04,27,63
255,2591,PG4,411,5.42,18.04,30,92
256,2592,PG4,377,6.57,18.04,14,38
257,2596,PG4,1731,4.07,16.14,64,225
258,2629,PG4,599,16.07,27.54,19,54
259,9621,PG4,455,48.51,104.49,13,37
260,4298,PG5,922,7.92,10.44,72,326
261,4223,PG5,5449,13.64,16.14,195,732
262,4230,PG5,5163,29.04,26.59,547,1902
263,4231,PG5,4193,26.51,23.74,412,1429
264,4232,PG5,6097,6.38,7.59,623,2195
265,4456,PG5,6196,4.73,5.22,638,2021
266,5074,PG3,2173,148.5,218.41,82,280
267,9678,PG3,2768,61.12,80.74,206,833
268,2467,PG5,1493,127.75,113.99,59,233
269,7457,PG4,5946,2.23,5.69,248,935
270,7464,PG4,3234,3.18,6.64,35,86
271,7465,PG4,4125,3.15,6.64,15,76
272,7467,PG4,3621,2.87,6.64,35,130
273,7468,PG4,4054,2.87,6.64,62,135
274,7469,PG4,2503,2.87,6.64,53,178
275,7482,PG4,2670,2.88,6.64,92,317
276,7483,PG4,1900,2.88,6.64,80,274
277,7484,PG4,4267,2.88,6.64,123,583
278,7485,PG4,2224,2.88,6.64,63,184
279,7486,PG4,4762,2.88,6.64,110,465
280,7487,PG4,3615,2.88,6.64,122,479
281,2751,PG6,362,18.01,52.24,40,127
282,7488,PG4,3585,2.88,6.64,117,436
283,7500,PG4,3736,8.93,16.14,31,97
284,7501,PG4,4275,8.28,15.19,24,79
285,7502,PG4,4926,7.4,14.24,36,119
286,7917,PG2,1965,47.17,99.66,40,115
287,7918,PG2,2854,44.87,75.99,66,169
288,7919,PG2,1304,49.65,99.66,66,208
289,5796,PG6,719,11.57,26.59,21,85
290,5829,PG6,670,4.05,9.02,42,136
291,5831,PG6,1551,11.76,25.64,15,57
292,5839,PG6,270,6.64,14.24,23,88
293,5842,PG6,2834,4.86,10.44,60,197
294,5844,PG6,2521,4.52,10.44,37,112
295,1915,PG6,3502,21.4,45.59,48,212
296,4553,PG6,1539,10.15,22.79,19,62
297,8330,PG2,161,6.05,4.74,13,48
298,2570,PG2,2911,4.07,9.49,158,591
299,1530,PG4,4790,24.48,42.74,421,1430
300,1562,PG5,1379,103.66,132.91,54,195
301,1565,PG5,687,103.66,132.91,15,59
302,1574,PG5,770,549.41,569.91,15,79
303,774,PG6,581,94.05,132.91,18,63
304,778,PG6,505,94.05,132.91,31,104
305,2571,PG2,160,1.98,2.08,12,45
306,9371,PG2,522,5.23,8.54,12,57
307,8235,PG4,480,28.66,63.64,16,55
308,9372,PG2,350,1.41,1.42,16,40
309,9373,PG2,615,4.73,6.93,17,80
310,2025,PG2,2561,51.77,99.66,171,857
311,2026,PG2,2189,48.83,94.99,125,456
312,8024,PG6,2105,6.16,10.44,60,202
313,9800,PG3,1398,64.32,99.66,18,65
314,7714,PG5,1607,81.33,118.66,26,94
315,3429,PG4,254,23.16,28.49,25,88
316,3430,PG4,228,26.95,31.34,14,79
317,3431,PG4,206,24.09,31.34,18,40
318,3438,PG4,286,17.11,21.84,24,84
319,3439,PG4,858,24.48,25.64,48,165
320,3440,PG4,1489,29.59,31.34,47,191
321,7125,PG4,496,23.05,26.59,12,55
322,7127,PG4,794,26.95,25.64,23,80
323,6128,PG6,1151,115.48,208.91,61,250
324,3073,PG3,2693,18.35,21.84,43,133
325,6802,PG4,313,19.58,25.64,18,73
326,6803,PG4,2728,24.7,31.34,173,705
327,8703,PG4,180,21.07,28.49,14,38
328,4120,PG4,1470,76.31,94.99,31,168
329,4121,PG4,284,41.97,56.99,16,54
330,4123,PG4,4915,76.31,104.41,157,522
331,4124,PG4,814,41.97,56.99,19,66
332,4125,PG4,2142,95.79,131.01,39,175
333,8716,PG6,544,13.2,10.44,45,91
334,8717,PG6,506,13.75,12.34,18,70
335,8718,PG6,106,28.38,18.04,12,48
336,8719,PG6,363,32.01,25.64,20,84
337,8721,PG6,290,11.44,10.44,21,79
338,888,PG6,38750,11.66,13.29,1490,5882
339,889,PG6,21569,12.98,16.14,808,2990
340,890,PG6,49045,12.98,16.14,2690,10145
341,891,PG6,8300,6.71,14.24,252,1212
342,892,PG6,3608,9.46,16.14,114,418
343,4917,PG6,920,18.7,33.24,14,35
344,5621,PG5,-123,1.32,0.76,49,100
345,4935,PG6,4581,8.8,18.04,58,186
346,4936,PG6,1372,18.7,38.94,25,68
347,1313,PG1,753,101.2,161.41,30,96
348,9739,PG4,239,3.7,11.39,13,35
349,9767,PG4,2106,10.01,22.79,83,285
350,4969,PG6,1301,11.11,17.09,65,112
351,4970,PG6,1112,14.63,26.59,39,83
352,4971,PG6,262,14.63,28.49,15,32
353,4976,PG6,1551,14.85,30.39,89,234
354,9422,PG4,161,11.25,16.14,21,48
355,4980,PG6,3402,8.8,18.04,155,367
356,4981,PG6,776,18.7,43.69,30,75
357,4982,PG6,884,21.12,41.79,12,19
358,5000,PG6,1564,8.8,18.04,27,217
359,1942,PG4,261,3.32,10.44,16,42
360,5023,PG6,2153,14.85,30.39,100,250
361,5027,PG6,2532,8.8,18.04,159,345
362,5054,PG6,1100,11.11,18.04,56,130
363,5055,PG6,472,14.63,26.59,43,72
364,5059,PG6,496,16.72,38.94,29,46
365,5062,PG6,884,17.05,28.49,25,58
366,6078,PG6,1032,57.2,104.49,95,458
367,6857,PG5,794,59.95,94.99,29,114
368,6858,PG5,471,15.95,35.14,49,143
369,7957,PG1,320,459.8,750.41,21,100
370,8836,PG4,230,8.84,20.89,12,44
371,8838,PG4,210,12.93,21.84,20,55
372,8842,PG4,1613,8.05,21.84,13,54
373,7201,PG6,987,7.92,17.09,128,286
374,6529,PG6,950,189.2,223.16,30,154
375,1906,PG6,2221,5.06,16.14,41,185
376,9712,PG4,180,6.93,18.99,17,45
377,9721,PG4,293,8.31,18.99,13,54
378,9732,PG4,542,1.54,6.64,13,28
379,9733,PG4,271,8.47,19.94,12,46
380,9734,PG4,2444,1.54,6.64,67,278
381,9758,PG4,495,3.84,13.29,16,48
382,9403,PG5,2414,34.49,50.34,51,176
383,9404,PG5,5223,34.49,50.34,234,723
384,2515,PG5,4590,7.81,15.19,70,289
385,4609,PG4,682,10.98,25.64,30,137
386,9071,PG5,1144,79.33,94.99,72,236
387,2172,PG6,929,12.65,25.64,26,61
388,2174,PG6,3976,15.07,19.94,146,619
389,2177,PG6,5322,21.45,32.29,209,746
390,2178,PG6,1046,21.23,33.24,24,65
391,2179,PG6,1992,23.54,37.99,52,145
392,2180,PG6,281,19.58,33.24,16,37
393,2181,PG6,1365,64.57,98.71,18,85
394,2185,PG6,6200,14.52,26.59,200,744
395,2516,PG5,5761,11.9,21.84,37,170
396,2517,PG5,3920,16.37,30.39,13,48
397,2518,PG5,4814,3.96,8.07,99,368
398,2519,PG5,7089,5.02,9.49,141,609
399,2520,PG5,7846,6.71,13.29,273,1141
400,2521,PG5,4386,10.04,19.94,165,604
401,2522,PG5,4369,4.1,7.59,134,532
402,2633,PG5,4964,5.32,10.44,133,545
403,2634,PG5,5326,8.65,16.14,135,546
404,8784,PG3,592,5.17,12.34,22,89
405,1225,PG1,354,12.54,18.99,24,45
406,1324,PG1,831,12.54,18.99,36,115
407,4385,PG3,439,51.98,61.74,19,66
408,8104,PG6,2151,7.7,10.44,56,377
409,8105,PG6,1630,9.2,13.29,93,371
410,8106,PG6,901,19.58,21.84,81,336
411,8107,PG6,710,9.97,7.59,26,167
412,8114,PG6,566,121,189.91,14,79
413,8362,PG6,466,9.06,13.29,51,395
414,856,PG6,52748,31.35,37.99,1883,6880
415,2128,PG5,1459,32.24,45.59,21,69
416,2132,PG5,2851,55.64,75.99,55,204
417,8866,PG5,1438,51.7,82.64,39,202
418,7203,PG5,3501,14.3,23.74,119,391
419,9770,PG4,305,10.78,12.34,34,139
420,9771,PG4,286,9.24,14.24,13,71
421,9773,PG4,154,3.08,6.64,21,59
422,9774,PG4,231,3.08,6.64,13,45
423,9775,PG4,310,3.08,6.64,30,93
424,9779,PG4,967,1.54,3.79,31,127
425,9780,PG4,2813,1.54,3.79,237,822
426,9781,PG4,1311,1.54,3.79,56,197
427,9782,PG4,351,1.54,3.79,29,109
428,9784,PG4,276,1.54,3.79,29,124
429,9794,PG4,178,3.01,15.19,27,85
430,9807,PG4,565,2.46,7.59,21,62
431,9808,PG4,498,1.87,2.37,12,65
432,5454,PG4,-22,0.57,0.66,31,28
433,2275,PG4,2025,26.4,42.75,72,265
434,8664,PG5,1587,34.1,37.99,146,509
435,8665,PG5,1098,34.1,37.99,139,438
436,8666,PG5,999,34.1,51.29,86,322
437,8667,PG5,1204,34.1,51.29,112,532
438,9820,PG5,169,56.1,109.16,13,26
439,7202,PG6,2450,10.66,22.79,28,74
440,369,PG4,1716,122.3,251.66,83,329
441,370,PG4,1712,132.77,256.41,117,364
442,2747,PG5,288,35.68,61.74,16,39
443,2749,PG5,333,44.42,75.99,28,64
444,2751,PG5,386,62.83,104.41,20,75
445,2755,PG5,381,44.42,75.99,16,77
446,2756,PG5,323,62.83,104.41,23,56
447,7503,PG4,3902,6.91,13.29,27,78
448,7504,PG4,4746,6.59,12.34,37,94
449,3198,PG5,160,34.32,70.29,17,45
450,3201,PG5,259,13.2,35.14,19,59
451,2187,PG6,6171,19.47,38.94,280,1150
452,2189,PG6,1940,6.71,14.24,41,113
453,6388,PG5,1618,40.67,59.84,24,132
454,6389,PG5,1133,113.88,170.91,14,36
455,2112,PG4,160,3.69,3.32,23,25
456,9231,PG5,2353,34.49,54.14,31,118
457,9232,PG5,1880,34.49,54.14,54,181
458,8438,PG4,461,49.15,78.84,34,90
459,5167,PG1,980,63.25,106.31,64,203
460,9148,PG5,988,33.39,47.49,13,58
461,9157,PG5,2045,40.67,59.84,60,193
462,9158,PG5,1287,113.88,170.91,23,119
463,9159,PG5,1539,40.67,59.84,23,50
464,9160,PG5,1438,113.88,170.91,29,65
465,9161,PG5,655,40.67,59.84,16,76
466,9163,PG5,617,40.67,59.84,36,61
467,9164,PG5,410,113.88,170.91,45,159
468,2913,PG4,210,57.2,94.99,18,68
469,1112,PG1,792,26.4,57.94,44,146
470,1113,PG1,1002,69.3,150.96,106,391
471,1116,PG1,415,94.6,201.31,14,36
472,1131,PG1,455,30.8,68.39,23,84
473,1133,PG1,183,38.5,75.99,18,82
474,1134,PG1,590,80.3,151.91,20,86
475,7166,PG1,529,12.1,27.54,17,36
476,7998,PG1,635,97.9,189.91,27,131
477,7727,PG3,764,437.21,593.66,38,146
478,6527,PG6,471,100.1,132.91,24,95
479,2646,PG5,332,700.14,712.41,18,27
480,2253,PG5,1109,53.47,75.99,25,87
481,7610,PG3,1804,23.31,37.99,64,317
482,7829,PG4,2610,30.8,66.49,29,190
483,5114,PG2,1671,3.45,5.69,39,137
484,5119,PG2,1446,3.45,5.69,30,131
485,5120,PG2,1425,3.61,5.69,38,189
486,5121,PG2,774,7.39,10.44,57,233
487,5122,PG2,827,6.04,9.49,40,163
488,5123,PG2,640,11.78,18.99,20,71
489,5124,PG2,601,8.05,14.24,28,100
490,8567,PG4,172,33.31,56.99,20,75
491,2533,PG5,274,94.05,151.91,31,93
492,8064,PG6,1543,4.03,8.07,40,130
493,8065,PG6,5222,2.26,5.22,122,503
494,8066,PG6,1661,4.39,9.02,35,144
495,8068,PG6,1089,10.78,15.19,39,121
496,8069,PG6,845,14.93,27.54,21,67
497,8071,PG6,2344,11.29,20.89,162,696
498,8072,PG6,834,14.99,25.64,40,170
499,8073,PG6,1215,20.59,37.04,71,199
500,8074,PG6,1258,35.24,56.99,44,155
501,8075,PG6,1722,17.6,37.04,29,141
502,8076,PG6,1272,21.66,51.29,14,44
503,9375,PG2,525,2.09,3.79,36,97
504,7745,PG4,305,84.58,170.99,13,58
505,1925,PG4,64,621.5,949.91,12,31
506,9741,PG5,2494,29.7,47.49,98,337
507,3120,PG4,313,10.31,23.74,12,35
508,3121,PG4,232,10.76,28.49,14,43
509,3123,PG4,728,3.67,9.49,25,115
510,3126,PG4,1386,13.6,31.34,66,201
511,3128,PG4,267,15.69,31.34,13,23
512,3135,PG4,148,48.08,66.49,18,43
513,8488,PG2,103,100.1,170.91,23,54
514,8489,PG2,453,81.4,142.41,19,54
515,6173,PG5,339,32.23,47.49,22,70
516,6174,PG5,124,32.23,26.59,13,33
517,5150,PG1,1590,42.9,75.91,53,200
518,5417,PG5,4022,18.15,36.09,176,604
519,5419,PG5,4627,9.68,25.64,112,390
520,8996,PG5,348,53.63,94.99,12,43
521,8997,PG5,300,53.63,94.99,21,59
522,8873,PG5,4838,25.19,56.99,42,151
523,2184,PG6,290,9.54,20.89,26,51
524,9972,PG4,3156,113.34,142.41,276,933
525,4000,PG1,1805,14.41,15.19,160,539
526,4017,PG1,938,53.24,75.99,46,172
527,4018,PG1,729,48.4,71.24,23,91
528,7657,PG4,2377,11.72,20.89,76,256
529,9692,PG1,68,1243,1500.05,26,94
530,9693,PG1,373,480.14,812.16,18,54
531,16,PG6,1276,66,151.99,36,131
532,17,PG6,1304,41.8,75.99,19,68
533,18,PG6,1964,20.9,52.24,62,302
534,9167,PG5,587,40.67,59.84,19,20
535,9168,PG5,266,113.88,170.91,13,35
536,9170,PG5,883,67.72,94.99,20,78
537,9176,PG5,1494,67.72,94.99,23,46
538,5694,PG5,552,103.66,132.91,21,63
539,975,PG6,1695,143,227.91,38,198
540,8239,PG6,9771,17.38,20.89,969,2504
541,5908,PG4,1563,7.02,20.89,49,106
542,214,PG5,2762,11.44,25.64,15,91
543,7515,PG4,4125,6.17,11.39,17,70
544,7516,PG4,4435,6.17,11.39,37,114
545,7517,PG4,7209,5.23,4.74,66,349
546,5899,PG4,584,7.03,23.74,15,53
547,9181,PG5,1167,62.03,90.24,25,126
548,2664,PG5,1180,87.92,104.41,59,107
549,2670,PG5,602,475.23,522.41,24,58
550,9464,PG5,2199,12.76,18.99,81,261
551,9465,PG5,1796,12.76,18.99,97,355
552,5287,PG5,218,289,370.41,16,51
553,5703,PG5,152,549.41,569.91,23,39
554,4019,PG1,791,49.94,74.09,35,110
555,9835,PG5,39,61.44,104.41,13,22
556,9795,PG4,352,8.91,22.79,22,104
557,9796,PG4,1696,8.91,22.79,67,206
558,9800,PG4,316,10.75,24.69,20,110
559,6300,PG4,313,176,227.91,23,85
560,5530,PG1,457,67.87,115.81,37,115
561,2035,PG2,2084,25.3,42.74,26,130
562,330,PG6,429,73.77,57.94,16,80
563,6499,PG6,355,25.43,21.84,14,33
564,4778,PG6,686,39.61,45.59,13,45
565,5412,PG5,848,79.73,104.41,26,80
566,7773,PG1,602,975.7,1325.16,19,60
567,9841,PG6,4122,19.81,33.24,178,611
568,9842,PG6,2989,19.81,33.24,99,341
569,9844,PG6,15423,14.1,26.59,480,1918
570,3932,PG6,113,12.21,17.09,16,38
571,3935,PG6,332,8,14.24,32,64
572,8209,PG3,1862,22.44,25.64,154,495
573,6993,PG4,230,15.71,27.54,17,61
574,6994,PG4,956,12.34,22.79,69,327
575,2878,PG4,974,98.32,109.16,31,154
576,2928,PG4,3216,119.34,218.49,23,102
577,9559,PG4,1497,16.25,31.34,15,39
578,3290,PG4,1612,11.29,21.84,18,57
579,7597,PG5,293,681.27,664.91,13,13
580,7652,PG5,1524,77.32,75.99,78,363
581,8295,PG5,429,700.14,712.41,22,136
582,9846,PG6,19483,14.1,26.59,366,1357
583,9847,PG6,2013,16.4,28.49,75,231
584,9848,PG6,1747,22.08,36.09,96,322
585,9849,PG6,2160,15.84,27.54,56,291
586,4400,PG5,2042,6.33,16.14,48,202
587,7848,PG4,173,94.6,170.91,12,34
588,1428,PG2,2437,78.71,180.41,25,88
589,1429,PG2,2272,84.98,170.91,24,91
590,1430,PG2,2506,91.28,189.91,26,93
591,4021,PG1,436,231.44,293.46,13,43
592,4022,PG1,665,133.54,197.51,15,51
593,8843,PG4,564,3.05,10.44,14,55
